clique_matrix_nnz,clique_matrix_storage_bytes,clique_seconds,clique_solver_iterations,compressed_bound_le_clique_rate,compressed_seconds,family,instance,intervals,n,seed,speedup,theta_count
46597,579408,0.07958800002234057,5568,1.0,0.03308412499609403,dense_frontier,dense_frontier_n360_m6_g18_s51,7,360,51,2.40562505527158,26
46597,579408,0.07880933399428613,5393,1.0,0.03584920900175348,dense_frontier,dense_frontier_n360_m6_g18_s52,7,360,52,2.1983562870363853,26
93179,1158552,0.19210508398828097,11528,1.0,0.06629824999254197,dense_frontier,dense_frontier_n720_m6_g26_s51,7,720,51,2.897589061700592,26
93180,1158564,0.19130100001348183,11461,1.0,0.06434591699508019,dense_frontier,dense_frontier_n720_m6_g26_s52,7,720,52,2.9730091503414036,26
186343,2316840,0.44734970899298787,22788,1.0,0.112815792002948,dense_frontier,dense_frontier_n1440_m6_g37_s51,7,1440,51,3.965311070823295,26
186343,2316840,0.4530053340131417,23021,1.0,0.12014712500968017,dense_frontier,dense_frontier_n1440_m6_g37_s52,7,1440,52,3.77042175563205,26
46545,578784,0.11492962500778958,7157,1.0,0.03392887499649078,correlated_risk,correlated_risk_n360_m6_g18_s51,7,360,51,3.3873691662242447,26
46558,578940,0.11153749999357387,7113,1.0,0.03717045800294727,correlated_risk,correlated_risk_n360_m6_g18_s52,7,360,52,3.000702869594181,26
93082,1157388,0.271217625006102,13359,1.0,0.05830945901107043,correlated_risk,correlated_risk_n720_m6_g26_s51,7,720,51,4.651348676629114,26
93083,1157400,0.28711545799160376,13803,1.0,0.059182750002946705,correlated_risk,correlated_risk_n720_m6_g26_s52,7,720,52,4.85133688409728,26
186197,2315088,0.7419744159851689,25403,1.0,0.11645637502078898,correlated_risk,correlated_risk_n1440_m6_g37_s51,7,1440,51,6.371264912313446,26
186218,2315340,0.6866331249766517,24388,1.0,0.11450362499454059,correlated_risk,correlated_risk_n1440_m6_g37_s52,7,1440,52,5.996606002730391,26
46591,579336,0.08273683302104473,5849,1.0,0.03296029198099859,near_tie,near_tie_n360_m6_g18_s51,7,360,51,2.5101972115035274,26
46591,579336,0.07682041599764489,5377,1.0,0.033615499996813014,near_tie,near_tie_n360_m6_g18_s52,7,360,52,2.285267689159108,26
93175,1158504,0.1866137499746401,11402,1.0,0.06025133401271887,near_tie,near_tie_n720_m6_g26_s51,7,720,51,3.097255073808764,26
93175,1158504,0.18558241697610356,11101,1.0,0.05985158300609328,near_tie,near_tie_n720_m6_g26_s52,7,720,52,3.1007102511759808,26
186343,2316840,0.4311772499931976,22025,1.0,0.10134000002290122,near_tie,near_tie_n1440_m6_g37_s51,7,1440,51,4.254758731949462,26
186343,2316840,0.43063062499277294,21731,1.0,0.10531937499763444,near_tie,near_tie_n1440_m6_g37_s52,7,1440,52,4.088807258896526,26
46803,581880,0.07830449999892153,6016,1.0,0.043353041022783145,many_breakpoints,many_breakpoints_n360_m6_g18_s51,7,360,51,1.806205473746824,1801
46803,581880,0.07908045899239369,5984,1.0,0.0441091250104364,many_breakpoints,many_breakpoints_n360_m6_g18_s52,7,360,52,1.792836719696501,1801
93603,1163640,0.21731245898990892,12788,1.0,0.08744179201312363,many_breakpoints,many_breakpoints_n720_m6_g26_s51,7,720,51,2.4852242158680116,3601
93603,1163640,0.22615662499447353,13101,1.0,0.09409154200693592,many_breakpoints,many_breakpoints_n720_m6_g26_s52,7,720,52,2.40358081258571,3601
187203,2327160,0.8229967500083148,32063,1.0,0.17119774999446236,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,7,1440,51,4.807287187097587,7201
187203,2327160,0.8186400000122376,31861,1.0,0.19178850000025705,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,7,1440,52,4.268451966677566,7201
