all_compressed_bounds_certified,clique_matrix_nnz,clique_matrix_storage_bytes,clique_seconds,clique_solver_iterations,compressed_bound_le_clique_rate,compressed_seconds,family,instance,intervals,maximum_compressed_certificate_gap,maximum_compressed_scaled_certificate_gap,n,seed,speedup,theta_count
True,46597,579408,0.08506424999995943,5680,1.0,0.046611667000433954,dense_frontier,dense_frontier_n360_m6_g18_s51,7,8.006628559087403e-05,9.296585226595934e-09,360,51,1.824956185308015,26
True,46597,579408,0.08556941700044263,5760,1.0,0.04594495899982576,dense_frontier,dense_frontier_n360_m6_g18_s52,7,8.026303294172976e-05,9.339699632243523e-09,360,52,1.8624331997067871,26
True,93179,1158552,0.19815004100018996,11215,1.0,0.0833762909996949,dense_frontier,dense_frontier_n720_m6_g26_s51,7,0.00016018664609873667,9.31445275739425e-09,720,51,2.376575386411888,26
True,93180,1158564,0.1963071250002031,11624,1.0,0.0836105829994267,dense_frontier,dense_frontier_n720_m6_g26_s52,7,0.00016024142678361386,9.323376684294063e-09,720,52,2.3478741321723486,26
True,186343,2316840,0.48837591699975746,22847,1.0,0.16036404099941137,dense_frontier,dense_frontier_n1440_m6_g37_s51,7,0.00031916057923808694,9.28905219194825e-09,1440,51,3.0454203695300377,26
True,186343,2316840,0.48347641700001986,22423,1.0,0.15874991599957866,dense_frontier,dense_frontier_n1440_m6_g37_s52,7,0.00032154240034287795,9.366568908182648e-09,1440,52,3.045522348505073,26
True,46547,578808,0.12511025000003428,7401,1.0,0.04583241700038343,correlated_risk,correlated_risk_n360_m6_g18_s51,7,4.937586163578089e-05,6.581254251049703e-09,360,51,2.7297327565986236,26
True,46373,576720,0.11752366600012465,6885,1.0,0.04488783299984789,correlated_risk,correlated_risk_n360_m6_g18_s52,7,4.967604127159575e-05,6.601334397755297e-09,360,52,2.618163055465897,25
True,93097,1157568,0.3066820829999415,13241,1.0,0.08777766700040956,correlated_risk,correlated_risk_n720_m6_g26_s51,7,9.815056728257332e-05,6.525997709411153e-09,720,51,3.4938509245012233,26
True,93122,1157868,0.30381595800008654,13226,1.0,0.08144041600007768,correlated_risk,correlated_risk_n720_m6_g26_s52,7,9.953187509381678e-05,6.628289366145984e-09,720,52,3.730530526757093,26
True,186171,2314776,0.7392768749996321,25297,1.0,0.15436554200005048,correlated_risk,correlated_risk_n1440_m6_g37_s51,7,0.00019620955936261453,6.544117311625234e-09,1440,51,4.789131469504965,26
True,186116,2314116,0.80886158300018,26200,1.0,0.15586900000016612,correlated_risk,correlated_risk_n1440_m6_g37_s52,7,0.00019620712555479258,6.541218982091717e-09,1440,52,5.189367885848488,26
True,46591,579336,0.08648316699964198,5960,1.0,0.045160499999838066,near_tie,near_tie_n360_m6_g18_s51,7,5.905310536036268e-05,9.15577820798484e-09,360,51,1.9150179249554828,26
True,46591,579336,0.08434391700029664,5795,1.0,0.04395979199944122,near_tie,near_tie_n360_m6_g18_s52,7,6.0350384046614636e-05,9.373016533508876e-09,360,52,1.9186605114366497,26
True,93175,1158504,0.20184670799972082,11399,1.0,0.08112883400008286,near_tie,near_tie_n720_m6_g26_s51,7,0.0001202008734253468,9.316863150552585e-09,720,51,2.48797743105139,26
True,93175,1158504,0.19549695800014888,11006,1.0,0.08092624999972031,near_tie,near_tie_n720_m6_g26_s52,7,0.00011858589641633444,9.23005180193485e-09,720,52,2.4157422097381818,26
True,186343,2316840,0.4844053749993691,22647,1.0,0.154741458000899,near_tie,near_tie_n1440_m6_g37_s51,7,0.0002445327954774257,9.505953247373455e-09,1440,51,3.130417544576547,26
True,186343,2316840,0.4536439159992369,20529,1.0,0.15492149999954563,near_tie,near_tie_n1440_m6_g37_s52,7,0.0002459232055116445,9.562669534384429e-09,1440,52,2.9282179426391264,26
True,46803,581880,0.08630116600033944,6057,1.0,0.05771625000033964,many_breakpoints,many_breakpoints_n360_m6_g18_s51,7,5.3753161409986205e-05,7.0681209989113556e-09,360,51,1.4952663417985677,1801
True,46803,581880,0.08554133300003741,5699,1.0,0.057448000000476895,many_breakpoints,many_breakpoints_n360_m6_g18_s52,7,5.3906893299426883e-05,7.050618808917869e-09,360,52,1.4890219502737658,1801
True,93603,1163640,0.2581116250003106,13616,1.0,0.1238963750001858,many_breakpoints,many_breakpoints_n720_m6_g26_s51,7,0.00013179067536839284,9.217268132694799e-09,720,51,2.0832863350515582,3601
True,93603,1163640,0.2413277499999822,12815,1.0,0.11802754099971935,many_breakpoints,many_breakpoints_n720_m6_g26_s52,7,0.0001310651387029793,9.15905543948247e-09,720,52,2.0446732004740826,3601
True,187203,2327160,0.8559924579994913,31782,1.0,0.2600839160004398,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,7,0.0002215830609202385,8.228344242046995e-09,1440,51,3.291216431845958,7201
True,187203,2327160,0.8369067499997982,32274,1.0,0.2604674590002105,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,7,0.0002213378538726829,8.217426640318891e-09,1440,52,3.2130952296775077,7201
